H1 13d gene	H1 13d RPKM
ISEfm1|1|AF138282	0.3739106530268136
ISLpl1|1|AF459445	0.3731936623211055
IS679|1|NC_002142	0.35987517548161335
ISL6|1|AY040215	0.3337114110090132
ISLfr1|1|AB292687	0.3314381725144014
ISSfl9|1|NC_004337	0.29849769156511735
ISLhe6|1|AY616518	0.298268957701849
ISEfm2|1|AY887085	0.293766784755406
ISLsa1|1|CR936503	0.28205868826153113
IS150|1|X07037	0.2697442756763084
ISEc45|1|NC_004431	0.26899861078155696
ISKpn26|1|NC_016845	0.24408924945709423
ISEnfa1|1|AY884205	0.2432756186255706
ISS1E|1|X60734	0.24086694913422835
ISEc43|1|NC_008460	0.22977626316464758
IS3|1|X02311	0.1547062757555298
ISEfa4|1|AY082011	0.15429743253207437
ISS1N|1|M37395	0.12043347456711417
ISS1D|1|X62737	0.12043347456711417
ISEc5|1|L02372	0.07537586944246959
IS4|1|J01733	0.06824000522456398
H2 24d gene	H2 24d RPKM
ISLhe30|1|CBUL010000181	22.534128082049758
MITEEc1|1|U00096	11.283182873701596
ISKpn26|1|NC_016845	8.454300784368144
ISKpn19|1|NC_010886	8.275389473486507
ISLsa1|1|CR936503	4.214257123014012
ISEc32|1|NC_011747	3.024330131038176
IS421|1|Y07501	2.5853790861872135
ISLjo1|1|NC_005362	2.2548712434446387
ISEch12|1|CP002038	1.8008902239139155
IS4|1|J01733	1.3903340948360012
IS3|1|X02311	1.339605688673066
IS679|1|NC_002142	1.3197890364737601
ISEc1|1|L02370	1.3053632504653112
IS153|1|AJ239042	1.0555189454673315
IS629|1|X51586	0.9837409713767096
ISL4|1|AY040213	0.8370515642130859
IS621|1|NC_009800	0.8347858607310054
ISEc5|1|L02372	0.7678607355678302
ISLcr1|1|NC_014106	0.6828046528364907
ISL2|1|X77332	0.5776854368403664
ISLre2|1|AP007281	0.5682658526473006
ISSsu6|1|AB627109	0.49005349345525995
IS30|1|X00792	0.48712934133566027
ISEc17|1|DQ388534	0.47280200776696446
IS5|1|J01735	0.4147733094636271
ISEc38|1|AJ303141	0.34540355735821215
ISLjo2|1|NC_005362	0.339256745249168
IS6100|1|X53635	0.33794598055161434
ISL5|1|AY040214	0.3117321413893298
ISLh1|1|X81979	0.3091397743091691
ISEsa1|1|LCWW01000014	0.3080510284705
IS102|1|J01728	0.28135521559642446
ISLdl1|1|AJ302652	0.262946474699753
ISEc44|1|NC_010498	0.21102888975371342
IS150|1|X07037	0.20609318287277936
ISShdy1|1|AIHI01000025	0.17850688048344576
ISVsa5|1|NC_011312	0.14918106991995017
ISEc47|1|AIFX01000063	0.11703756902220411
ISSbo1|1|CP001062	0.11601032295120757
IS609|1|BA000007	0.11342199194714746
IS100|1|Z32853	0.10151645771818418
ISEc78|1|MF156714	0.08135479767074837
ISEc31|1|NC_011751	0.07880033462782741
ISEc26|1|NC_002655	0.07596231491326197
H2 31d gene	H2 31d RPKM
ISLre2|1|AP007281	14.174890553634281
ISL4|1|AY040213	5.4261348614699925
ISLcr1|1|NC_014106	5.1886531656577075
ISCau1|1|NC_012590	4.901673531828074
ISLjo1|1|NC_005362	4.587421336569341
ISCx1|1|U21300	4.416993126628656
ISLhe30|1|CBUL010000181	4.157575579093978
ISL5|1|AY040214	1.1911991526404828
ISLjo2|1|NC_005362	1.1343297885770511
ISLh1|1|X81979	0.9844109421509187
ISLsa1|1|CR936503	0.45748952963728684
IS6100|1|X53635	0.26903503589465444
ISLjo5|1|NC_005362	0.22536966357667387
ISCje1|1|NC_007164	0.1670789213742385
H3 9d gene	H3 9d RPKM
ISEnfa4|1|JQ911741	384.33299664364176
ISEfa4|1|AY082011	173.7883499238207
MITEEc1|1|U00096	21.766776014786824
ISLhe30|1|CBUL010000181	12.080560688206686
ISEnfa1|1|AY884205	8.575769643950778
ISLjo1|1|NC_005362	5.074941248603415
ISLre2|1|AP007281	3.0908475336283683
ISL4|1|AY040213	1.4129368326848202
ISL2|1|X77332	1.1701544798159
ISLjo2|1|NC_005362	1.1453257399977668
IS621|1|NC_009800	0.704556171004942
IS3|1|X02311	0.6650719022801022
ISS1E|1|X60734	0.4141883431031527
ISEfm2|1|AY887085	0.3788651108234122
IS421|1|Y07501	0.24937718422306068
ISS1N|1|M37395	0.20709417155157636
ISKpn26|1|NC_016845	0.13990977476059674
ISEc17|1|DQ388534	0.13301438045602043
ISEf1|1|NC_004668	0.12506135322397138
H3 16d gene	H3 16d RPKM
MITEEc1|1|U00096	177.19828839137082
